customer_id,customer_name,segment,region,province,signup_date,gender,age_group,loyalty_member
C00001,Sofia R.,SMB,North,Chiang Mai,2022-09-14,Male,55+,No
C00002,Noon W.,Corporate,Bangkok,Nonthaburi,2022-08-16,Female,55+,No
C00003,Wichai S.,SMB,Northeast,Nakhon Ratchasima,2023-10-20,Male,55+,No
C00004,Tanawat J.,Consumer,Bangkok,Pathum Thani,2021-12-25,Male,25-34,Yes
C00005,Ploy D.,Consumer,Northeast,Udon Thani,2023-04-04,Prefer not to say,35-44,Yes
C00006,Noon H.,SMB,South,Krabi,2023-10-06,Male,18-24,No
C00007,Ahmed J.,Consumer,Bangkok,Samut Prakan,2022-06-03,Prefer not to say,45-54,No
C00008,Anan G.,Consumer,Central,Chonburi,2021-07-25,Female,25-34,No
C00009,Bee S.,SMB,Bangkok,Nonthaburi,2023-01-24,Female,35-44,No
C00010,Wei S.,SMB,South,Surat Thani,2023-03-06,Prefer not to say,18-24,No
C00011,Mei S.,SMB,South,Phuket,2023-03-27,Prefer not to say,35-44,Yes
C00012,Fah F.,Consumer,Northeast,Udon Thani,2023-01-03,Female,45-54,No
C00013,James M.,SMB,Central,Nakhon Pathom,2023-10-03,Male,25-34,Yes
C00014,Anan J.,SMB,South,Songkhla,2023-03-02,Prefer not to say,55+,No
C00015,Kanya A.,Consumer,South,Songkhla,2022-01-17,Prefer not to say,55+,Yes
C00016,Suda V.,SMB,Northeast,Nakhon Ratchasima,2021-12-04,Female,35-44,Yes
C00017,Somchai K.,Consumer,Northeast,Ubon Ratchathani,2021-11-19,Female,45-54,Yes
C00018,Ploy F.,Consumer,South,Songkhla,2022-06-12,Male,18-24,Yes
C00019,Ahmed J.,Consumer,Bangkok,Bangkok,2023-09-29,Female,25-34,No
C00020,Noon G.,Consumer,Bangkok,Bangkok,2023-10-05,Male,55+,No
C00021,Priya S.,Consumer,Bangkok,Nonthaburi,2023-04-08,Male,25-34,Yes
C00022,Ahmed K.,Consumer,Central,Chonburi,2023-07-03,Male,25-34,No
C00023,Mei N.,SMB,Bangkok,Nonthaburi,2022-08-25,Female,18-24,No
C00024,Anan W.,Consumer,Bangkok,Bangkok,2021-08-24,Prefer not to say,25-34,No
C00025,Mint M.,Consumer,North,Phitsanulok,2022-12-26,Male,25-34,No
C00026,Fah M.,Consumer,Central,Ayutthaya,2022-09-15,Female,18-24,Yes
C00027,Aek T.,SMB,Bangkok,Nonthaburi,2022-06-12,Female,45-54,Yes
C00028,Chai L.,Consumer,South,Songkhla,2022-09-02,Female,35-44,Yes
C00029,Suda E.,Consumer,North,Phitsanulok,2022-08-28,Male,55+,Yes
C00030,Nok M.,Consumer,South,Krabi,2023-05-04,Prefer not to say,35-44,No
C00031,Aek B.,Consumer,North,Phitsanulok,2022-12-26,Female,35-44,Yes
C00032,Emily T.,Corporate,Central,Ayutthaya,2023-11-11,Female,55+,No
C00033,Tanawat H.,Consumer,North,Phitsanulok,2021-12-16,Male,18-24,Yes
C00034,Tanawat D.,Consumer,Northeast,Udon Thani,2022-05-03,Prefer not to say,35-44,No
C00035,Prasert J.,Consumer,North,Phitsanulok,2022-03-31,Prefer not to say,25-34,No
C00036,Nok K.,SMB,Northeast,Ubon Ratchathani,2022-11-19,Male,55+,No
C00037,Sofia A.,Corporate,Central,Chonburi,2022-01-12,Prefer not to say,35-44,Yes
C00038,Emily J.,SMB,North,Chiang Rai,2023-01-06,Prefer not to say,18-24,No
C00039,Sofia F.,Consumer,North,Phitsanulok,2022-09-23,Female,25-34,Yes
C00040,Mei B.,Consumer,Central,Rayong,2023-02-13,Female,35-44,Yes
C00041,Ton S.,Consumer,Bangkok,Nonthaburi,2022-07-31,Female,25-34,No
C00042,Anan E.,Corporate,Northeast,Nakhon Ratchasima,2022-03-23,Prefer not to say,45-54,Yes
C00043,Bee H.,Consumer,North,Chiang Rai,2023-12-27,Male,18-24,Yes
C00044,Mei W.,Consumer,Northeast,Nakhon Ratchasima,2022-05-31,Male,25-34,Yes
C00045,Pim M.,Consumer,North,Chiang Rai,2022-10-24,Female,25-34,No
C00046,Boon E.,Consumer,North,Lampang,2022-03-23,Prefer not to say,35-44,No
C00047,Lucas E.,Corporate,North,Chiang Rai,2023-09-18,Female,18-24,Yes
C00048,Wichai B.,SMB,Bangkok,Nonthaburi,2021-12-14,Male,25-34,Yes
C00049,Krit H.,Consumer,Northeast,Udon Thani,2022-02-10,Female,45-54,No
C00050,Ploy L.,SMB,South,Surat Thani,2022-10-02,Male,35-44,Yes
C00051,Yuki G.,SMB,Central,Rayong,2022-05-27,Prefer not to say,18-24,No
C00052,Prasert N.,Consumer,North,Chiang Mai,2022-12-16,Female,35-44,Yes
C00053,Wichai A.,Consumer,South,Songkhla,2023-05-26,Female,45-54,No
C00054,Ton K.,Corporate,North,Chiang Mai,2023-01-14,Female,45-54,No
C00055,Kanya V.,Consumer,Northeast,Nakhon Ratchasima,2023-03-10,Prefer not to say,55+,No
C00056,Ahmed P.,Consumer,Central,Ayutthaya,2023-02-05,Prefer not to say,25-34,No
C00057,Noon W.,Consumer,Bangkok,Samut Prakan,2023-04-28,Prefer not to say,35-44,No
C00058,Ploy B.,Consumer,Central,Chonburi,2023-07-23,Prefer not to say,25-34,No
